province_code,station_code,azimuth,district_name,province_name,cell_code,x_,y_
TNN,7fa6de080fe1c2a8dc825a2c608f853bd7c8b61a82e94baf9e44eababa8f0c95,80.0,Xã Phú Bình,Tỉnh Thái Nguyên,abcxy2744403.56jhjhdks0803863330.0,21.47593,105.9163
TNN,7fa6de080fe1c2a8dc825a2c608f853bd7c8b61a82e94baf9e44eababa8f0c95,80.0,Xã Phú Bình,Tỉnh Thái Nguyên,abcxy2744406.49jhjhdks0803863330.0,21.47593,105.9163
TNN,f8093ef6ff0fc968c94b583a0175471b6b61bd02b0600875120b7a898951a1a9,200.0,Xã Văn Lang,Tỉnh Thái Nguyên,abcxy2744965.93jhjhdks0803864120.0,22.29473,106.07376
TNN,f8093ef6ff0fc968c94b583a0175471b6b61bd02b0600875120b7a898951a1a9,200.0,Xã Văn Lang,Tỉnh Thái Nguyên,abcxy2744968.86jhjhdks0803864120.0,22.29473,106.07376
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,180.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749379.97jhjhdks0803870330.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,70.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749382.89jhjhdks0803870330.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,270.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749385.82jhjhdks0803870340.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,70.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749388.75jhjhdks0803870340.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,270.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749391.68jhjhdks0803870350.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,70.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749394.61jhjhdks0803870350.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,70.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749397.54jhjhdks0803870360.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,180.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749400.47jhjhdks0803870360.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,180.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749403.4jhjhdks0803870360.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,270.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749406.33jhjhdks0803870370.0,21.56932,105.8359
TNN,817ac45059d8d8f318ac2c954411c24bfcb01f31d0a9989411baa9c67709e399,270.0,Phường Tích Lương,Tỉnh Thái Nguyên,abcxy2749409.26jhjhdks0803870370.0,21.56932,105.8359
TNN,0f8f91ecec666fbc29dbd246a9a2e1b93662f8e1a0cf6b05bc77aed29b50a815,290.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy2749412.18jhjhdks0803870380.0,21.58969,105.8248
TNN,0f8f91ecec666fbc29dbd246a9a2e1b93662f8e1a0cf6b05bc77aed29b50a815,50.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy2749415.11jhjhdks0803870380.0,21.58969,105.8248
TNN,0f8f91ecec666fbc29dbd246a9a2e1b93662f8e1a0cf6b05bc77aed29b50a815,170.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy2749418.04jhjhdks0803870380.0,21.58969,105.8248
TNN,e4e4eadb39cf1c2129902d4738a21891faa5a6aa9b286d02e3ecff6ac5cddced,320.0,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,abcxy2749420.97jhjhdks0803870390.0,21.59327,105.83518
TNN,18a996c99d43a0f7e49b97d8042ba8288d78d6f622eee7154403db87b814ecd8,100.0,Phường Phúc Thuận,Tỉnh Thái Nguyên,abcxy2751491.79jhjhdks0803873300.0,21.43683,105.784
